SN,Date,Reference,Narration,Debit,Credit,Balance
"808","2021-04-01 07:00","17256800123","R-9100000727/null null","0","100","13080"
"809","2021-04-01 07:00","17256800123","R-9100000727/null null","100","0","1006803"
"810","2021-04-01 07:00","17256800132","R-8100000728/null null","0","100100","1106903"
"811","2021-04-01 07:00","17256800132","R-8100000728/null null","100100","0","54892536"
"812","2021-04-01 07:00","17256800140","R-8100000729/null null","0","100","1107003"
"813","2021-04-01 07:00","17256800140","R-8100000729/null null","100","0","54892436"
"814","2021-04-01 07:00","17256800156","R-9100000731/null null","0","100","13180"
"815","2021-04-01 07:00","17256800156","R-9100000731/null null","100","0","1106903"
"816","2021-04-01 07:00","17256800391","R-8100000721/null null","0","100","1107003"
"817","2021-04-01 07:00","17256800391","R-8100000721/null null","100","0","54892336"
"818","2021-04-01 23:00","17314400657","R-8100000756/null null","0","100100","1207103"
"819","2021-04-01 23:00","17314400657","R-8100000756/null null","100100","0","54792236"
"820","2021-04-01 23:00","17314400712","R-8100000757/null null","0","100","1207203"
"821","2021-04-01 23:00","17314400712","R-8100000757/null null","100","0","54792136"
"822","2021-04-01 23:00","17314400755","R-9100000759/null null","0","100","13280"
"823","2021-04-01 23:00","17314400755","R-9100000759/null null","100","0","1207103"
"824","2021-04-02 00:00","17318000735","R-8100000760/null null","0","100100","1307203"
"825","2021-04-02 00:00","17318000735","R-8100000760/null null","100100","0","54692036"
"826","2021-04-02 00:00","17318000745","R-8100000761/null null","0","100","1307303"
"827","2021-04-02 00:00","17318000745","R-8100000761/null null","100","0","54691936"
"828","2021-04-02 00:00","17318000769","R-8100000764/null null","0","100100","1407403"
"829","2021-04-02 00:00","17318000769","R-8100000764/null null","100100","0","54591836"
"830","2021-04-02 00:00","17318000781","R-8100000765/null null","0","100","1407503"
"831","2021-04-02 00:00","17318000781","R-8100000765/null null","100","0","54591736"
"832","2021-04-02 00:00","17318000817","R-9100000767/null null","0","100","13380"
"833","2021-04-02 00:00","17318000817","R-9100000767/null null","100","0","1407403"
"834","2021-04-02 00:00","17318000826","R-8100000768/null null","0","100100","1507503"
"835","2021-04-02 00:00","17318000826","R-8100000768/null null","100100","0","54491636"
"836","2021-04-02 00:00","17318000834","R-8100000769/null null","0","100","1507603"
"837","2021-04-02 00:00","17318000834","R-8100000769/null null","100","0","54491536"
"838","2021-04-02 00:00","17318000874","R-9100000763/null null","0","100","13480"
"839","2021-04-02 00:00","17318000874","R-9100000763/null null","100","0","1507503"
"840","2021-04-02 00:00","17318000911","R-9100000771/null null","0","100","13580"
"841","2021-04-02 00:00","17318000911","R-9100000771/null null","100","0","1507403"
"842","2021-04-02 08:00","17346800686","R-8100000772/null null","0","100100","1607503"
"843","2021-04-02 08:00","17346800686","R-8100000772/null null","100100","0","54391436"
"844","2021-04-02 08:00","17346800696","R-8100000773/null null","0","100","1607603"
"845","2021-04-02 08:00","17346800696","R-8100000773/null null","100","0","54391336"
"846","2021-04-02 08:00","17346800717","R-9100000775/null null","0","100","13680"
"847","2021-04-02 08:00","17346800717","R-9100000775/null null","100","0","1607503"
"848","2021-04-02 08:00","17346800806","R-8100000776/null null","0","100100","1707603"
"849","2021-04-02 08:00","17346800806","R-8100000776/null null","100100","0","54291236"
"850","2021-04-02 08:00","17346800820","R-8100000777/null null","0","100","1707703"
"851","2021-04-02 08:00","17346800820","R-8100000777/null null","100","0","54291136"
"852","2021-04-02 08:00","17346800848","R-9100000779/null null","0","100","13780"
"853","2021-04-02 08:00","17346800848","R-9100000779/null null","100","0","1707603"
"854","2021-04-02 09:00","17350400091","R-8100000780/null null","0","100100","1807703"
"855","2021-04-02 09:00","17350400091","R-8100000780/null null","100100","0","54191036"
"856","2021-04-02 09:00","17350400101","R-8100000784/null null","0","100100","1907803"
"857","2021-04-02 09:00","17350400101","R-8100000784/null null","100100","0","54090936"
"858","2021-04-02 09:00","17350400118","R-9100000787/null null","0","100","13880"
"859","2021-04-02 09:00","17350400118","R-9100000787/null null","100","0","1907703"
"860","2021-04-02 09:00","17350400127","R-8100000788/null null","0","100100","2007803"
"861","2021-04-02 09:00","17350400127","R-8100000788/null null","100100","0","53990836"
"862","2021-04-02 09:00","17350400161","R-9100000791/null null","0","100","13980"
"863","2021-04-02 09:00","17350400161","R-9100000791/null null","100","0","2007703"
"864","2021-04-02 09:00","17350400184","R-8100000793/null null","0","100","2007803"
"865","2021-04-02 09:00","17350400184","R-8100000793/null null","100","0","53990736"
"866","2021-04-02 09:00","17350400443","R-8100000781/null null","0","100","2007903"
"867","2021-04-02 09:00","17350400443","R-8100000781/null null","100","0","53990636"
"868","2021-04-02 09:00","17350400463","R-9100000783/null null","0","100","14080"
"869","2021-04-02 09:00","17350400463","R-9100000783/null null","100","0","2007803"
"870","2021-04-02 09:00","17350400490","R-8100000785/null null","0","100","2007903"
"871","2021-04-02 09:00","17350400490","R-8100000785/null null","100","0","53990536"
"872","2021-04-02 09:00","17350400500","R-8100000789/null null","0","100","2008003"
"873","2021-04-02 09:00","17350400500","R-8100000789/null null","100","0","53990436"
"874","2021-04-02 09:00","17350400543","R-8100000792/null null","0","100100","2108103"
"875","2021-04-02 09:00","17350400543","R-8100000792/null null","100100","0","53890336"
"876","2021-04-02 09:00","17350400562","R-9100000795/null null","0","100","14180"
"877","2021-04-02 09:00","17350400562","R-9100000795/null null","100","0","2108003"
"878","2021-04-02 09:00","17350400588","R-9100000799/null null","0","100","14280"
"879","2021-04-02 09:00","17350400588","R-9100000799/null null","100","0","2107903"
"880","2021-04-02 09:00","17350400649","R-8100000796/null null","0","100100","2208003"
"881","2021-04-02 09:00","17350400649","R-8100000796/null null","100100","0","53790236"
"882","2021-04-02 09:00","17350400660","R-8100000797/null null","0","100","2208103"
"883","2021-04-02 09:00","17350400660","R-8100000797/null null","100","0","53790136"
"884","2021-04-02 09:00","17350400858","R-8100000800/null null","0","100100","2308203"
"885","2021-04-02 09:00","17350400858","R-8100000800/null null","100100","0","53690036"
"886","2021-04-02 09:00","17350400868","R-8100000801/null null","0","100","2308303"
"887","2021-04-02 09:00","17350400868","R-8100000801/null null","100","0","53689936"
"888","2021-04-02 09:00","17350400893","R-9100000803/null null","0","100","14380"
"889","2021-04-02 09:00","17350400893","R-9100000803/null null","100","0","2308203"
"890","2021-04-02 09:00","17350401006","R-8100000804/null null","0","100100","2408303"
"891","2021-04-02 09:00","17350401006","R-8100000804/null null","100100","0","53589836"
"892","2021-04-02 09:00","17350401013","R-8100000805/null null","0","100","2408403"
"893","2021-04-02 09:00","17350401013","R-8100000805/null null","100","0","53589736"
"894","2021-04-02 09:00","17350401029","R-9100000807/null null","0","100","14480"
"895","2021-04-02 09:00","17350401029","R-9100000807/null null","100","0","2408303"
"896","2021-04-02 09:00","17350401042","R-8100000808/null null","0","100100","2508403"
"897","2021-04-02 09:00","17350401042","R-8100000808/null null","100100","0","53489636"
"898","2021-04-02 09:00","17350401071","R-8100000809/null null","0","100","2508503"
"899","2021-04-02 09:00","17350401071","R-8100000809/null null","100","0","53489536"
"900","2021-04-02 09:00","17350401109","R-9100000811/null null","0","100","14580"
"901","2021-04-02 09:00","17350401109","R-9100000811/null null","100","0","2508403"
"902","2021-04-02 09:00","17350401292","R-8100000812/null null","0","100100","2608503"
"903","2021-04-02 09:00","17350401292","R-8100000812/null null","100100","0","53389436"
"904","2021-04-02 09:00","17350401307","R-8100000813/null null","0","100","2608603"
"905","2021-04-02 09:00","17350401307","R-8100000813/null null","100","0","53389336"
"906","2021-04-02 09:00","17350401347","R-9100000815/null null","0","100","14680"
"907","2021-04-02 09:00","17350401347","R-9100000815/null null","100","0","2608503"
"908","2021-04-02 10:00","17354001055","R-8100000816/null null","0","10000","2618503"
"909","2021-04-02 10:00","17354001055","R-8100000816/null null","10000","0","53379336"
"910","2021-04-02 10:00","17354001072","R-8100000817/null null","0","100","2618603"
"911","2021-04-02 10:00","17354001072","R-8100000817/null null","100","0","53379236"
"912","2021-04-02 10:00","17354001130","R-9100000819/null null","0","100","14780"
"913","2021-04-02 10:00","17354001130","R-9100000819/null null","100","0","2618503"
"914","2021-04-04 18:00","17555600517","R-8100000820/null null","0","100100","2718603"
"915","2021-04-04 18:00","17555600517","R-8100000820/null null","100100","0","53279136"
"916","2021-04-04 18:00","17555600571","R-8100000821/null null","0","100","2718703"
"917","2021-04-04 18:00","17555600571","R-8100000821/null null","100","0","53279036"
"918","2021-04-04 18:00","17555600614","R-9100000823/null null","0","100","14880"
"919","2021-04-04 18:00","17555600614","R-9100000823/null null","100","0","2718603"
"920","2021-04-05 10:00","17613200684","R-8100000824/null null","0","100100","2818703"
"921","2021-04-05 10:00","17613200684","R-8100000824/null null","100100","0","53178936"
"922","2021-04-05 10:00","17613200704","R-8100000825/null null","0","100","2818803"
"923","2021-04-05 10:00","17613200704","R-8100000825/null null","100","0","53178836"
"924","2021-04-05 10:00","17613200720","R-9100000827/null null","0","100","14980"
"925","2021-04-05 10:00","17613200720","R-9100000827/null null","100","0","2818703"
"926","2021-04-05 10:00","17613200729","R-8100000828/null null","0","100100","2918803"
"927","2021-04-05 10:00","17613200729","R-8100000828/null null","100100","0","53078736"
"928","2021-04-05 10:00","17613200803","R-8100000829/null null","0","100","2918903"
"929","2021-04-05 10:00","17613200803","R-8100000829/null null","100","0","53078636"
"930","2021-04-05 10:00","17613200815","R-9100000831/null null","0","100","15080"
"931","2021-04-05 10:00","17613200815","R-9100000831/null null","100","0","2918803"
"932","2021-04-05 11:00","17616800700","R-8100000832/null null","0","100100","3018903"
"933","2021-04-05 11:00","17616800700","R-8100000832/null null","100100","0","52978536"
"934","2021-04-05 11:00","17616800710","R-8100000833/null null","0","100","3019003"
"935","2021-04-05 11:00","17616800710","R-8100000833/null null","100","0","52978436"
"936","2021-04-05 11:00","17616800738","R-9100000835/null null","0","100","15180"
"937","2021-04-05 11:00","17616800738","R-9100000835/null null","100","0","3018903"
"938","2021-04-05 11:00","17616800839","R-8100000836/null null","0","100100","3119003"
"939","2021-04-05 11:00","17616800839","R-8100000836/null null","100100","0","52878336"
"940","2021-04-05 11:00","17616800919","R-8100000837/null null","0","100","3119103"
"941","2021-04-05 11:00","17616800919","R-8100000837/null null","100","0","52878236"
"942","2021-04-05 11:00","17616800937","R-9100000839/null null","0","100","15280"
"943","2021-04-05 11:00","17616800937","R-9100000839/null null","100","0","3119003"
"944","2021-04-05 11:00","17616800962","R-8100000840/null null","0","100100","3219103"
"945","2021-04-05 11:00","17616800962","R-8100000840/null null","100100","0","52778136"
"946","2021-04-05 11:00","17616800986","R-8100000841/null null","0","100","3219203"
"947","2021-04-05 11:00","17616800986","R-8100000841/null null","100","0","52778036"
"948","2021-04-05 11:00","17616801003","R-9100000843/null null","0","100","15380"
"949","2021-04-05 11:00","17616801003","R-9100000843/null null","100","0","3219103"
"950","2021-04-05 11:00","17616801013","R-8100000844/null null","0","100100","3319203"
"951","2021-04-05 11:00","17616801013","R-8100000844/null null","100100","0","52677936"
"952","2021-04-05 11:00","17616801022","R-8100000845/null null","0","100","3319303"
"953","2021-04-05 11:00","17616801022","R-8100000845/null null","100","0","52677836"
"954","2021-04-05 11:00","17616801039","R-9100000847/null null","0","100","15480"
"955","2021-04-05 11:00","17616801039","R-9100000847/null null","100","0","3319203"
"956","2021-04-05 11:00","17616801047","R-8100000848/null null","0","100100","3419303"
"957","2021-04-05 11:00","17616801047","R-8100000848/null null","100100","0","52577736"
"958","2021-04-05 11:00","17616801056","R-8100000849/null null","0","100","3419403"
"959","2021-04-05 11:00","17616801056","R-8100000849/null null","100","0","52577636"
"960","2021-04-05 11:00","17616801190","R-9100000851/null null","0","100","15580"
"961","2021-04-05 11:00","17616801190","R-9100000851/null null","100","0","3419303"
"962","2021-04-05 12:00","17620400456","R-8100000856/null null","0","100100","3519403"
"963","2021-04-05 12:00","17620400456","R-8100000856/null null","100100","0","52477536"
"964","2021-04-05 12:00","17620400466","R-8100000857/null null","0","100","3519503"
"965","2021-04-05 12:00","17620400466","R-8100000857/null null","100","0","52477436"
"966","2021-04-05 12:00","17620400521","R-9100000859/null null","0","100","15680"
"967","2021-04-05 12:00","17620400521","R-9100000859/null null","100","0","3519403"
"968","2021-04-05 12:00","17620401411","R-8100000852/null null","0","100100","3619503"
"969","2021-04-05 12:00","17620401411","R-8100000852/null null","100100","0","52377336"
"970","2021-04-05 12:00","17620401420","R-8100000853/null null","0","100","3619603"
"971","2021-04-05 12:00","17620401420","R-8100000853/null null","100","0","52377236"
"972","2021-04-05 12:00","17620401439","R-9100000855/null null","0","100","15780"
"973","2021-04-05 12:00","17620401439","R-9100000855/null null","100","0","3619503"
"974","2021-04-05 16:00","17634800301","R-9100000863/null null","0","100","15880"
"975","2021-04-05 16:00","17634800301","R-9100000863/null null","100","0","3619403"
"976","2021-04-05 16:00","17634800902","R-8100000860/null null","0","100100","3719503"
"977","2021-04-05 16:00","17634800902","R-8100000860/null null","100100","0","52277136"
"978","2021-04-05 16:00","17634800910","R-8100000861/null null","0","100","3719603"
"979","2021-04-05 16:00","17634800910","R-8100000861/null null","100","0","52277036"
